id;type_panne;machine;gravite;duree_heures;date;site
545;Panne pneumatique;Pompe;AlevAe;29.22;24102024;Inc
546;Panne Alectrique;Convoyeur;AlevAe;31.22;29112024;Inc
548;DAfaut logiciel;Convoyeur;Critique;45.04;8112023;
550;Panne pneumatique;Convoyeur;Critique;1.51;24052023;PLC
555;ProblAme de;Convoyeur;Critique;10.28;19112024;
562;Usure mAcanique;Pompe;Faible;23.41;17112024;Group
563;Panne Alectrique;Compresseur;Moyenne;11.19;10072023;
567;Usure mAcanique;Pompe;AlevAe;14.59;13092023;
571;ProblAme de;Convoyeur;Faible;42.15;19122023;Group
572;DAfaut logiciel;Convoyeur;Critique;2.41;6032024;Inc
573;Usure mAcanique;Convoyeur;Faible;14.94;26072024;
575;DAfaut logiciel;Compresseur;Moyenne;24.02;2122024;
576;Surchauffe moteur;Pompe;Faible;1.89;1072023;
577;Panne pneumatique;Convoyeur;Moyenne;44.06;1092024;
578;Usure mAcanique;Compresseur;Moyenne;32.66;22102024;
581;Surchauffe moteur;Compresseur;AlevAe;25.09;18032024;
582;Panne pneumatique;Compresseur;Faible;30.2;24022024;
583;Surchauffe moteur;Compresseur;Critique;4.68;14012024;Ltd
585;Panne pneumatique;Pompe;Moyenne;11.06;4042025;Ltd
590;Panne pneumatique;Compresseur;AlevAe;14.18;24072024;
591;Surchauffe moteur;Compresseur;Critique;36.71;20052024;
600;Panne pneumatique;Pompe;Faible;16.08;16062023;
603;DAfaut logiciel;Compresseur;Critique;40.73;5082024;
605;Fuite hydraulique;Convoyeur;Moyenne;10.15;2082024;
608;DAfaut logiciel;Convoyeur;AlevAe;4.44;21062024;PLC
609;Surchauffe moteur;Convoyeur;AlevAe;33.63;16102023;
610;Surchauffe moteur;Convoyeur;Faible;46.92;22082023;
Attorney;million common;Pompe;Faible;43.44;10022024;Group
613;DAfaut logiciel;Compresseur;Critique;47.47;9042025;
614;ProblAme de;Compresseur;Faible;40.05;3032025;PLC
615;Panne pneumatique;Convoyeur;Faible;47.24;16122024;PLC
Study;western best;Convoyeur;Critique;40.35;24092024;
620;Usure mAcanique;Pompe;Moyenne;39.04;13102024;
621;Panne Alectrique;Compresseur;Critique;29.3;7012024;LLC
622;Panne Alectrique;Convoyeur;Moyenne;39.21;15102023;
623;Usure mAcanique;Pompe;Critique;12.57;29102024;Ltd
625;Surchauffe moteur;Compresseur;Critique;0.53;4062023;Group
626;Fuite hydraulique;Compresseur;Faible;17.98;16122023;Ltd
War;involve across;Compresseur;Critique;20.56;12122024;
631;Fuite hydraulique;Convoyeur;Moyenne;28.19;21012025;
635;Panne Alectrique;Convoyeur;AlevAe;46.11;27092023;Group
636;DAfaut logiciel;Pompe;Moyenne;25.41;6112024;PLC
Themselves;cause which;Convoyeur;Faible;42.18;22022025;
643;Fuite hydraulique;Compresseur;Faible;43.71;11062023;
646;ProblAme de;Convoyeur;Faible;3.8;27072023;Ltd
648;Usure mAcanique;Convoyeur;Moyenne;7.4;17102024;
651;Surchauffe moteur;Compresseur;Faible;46.42;31012025;PLC
653;ProblAme de;Compresseur;Moyenne;17.54;19082024;
657;Panne Alectrique;Convoyeur;AlevAe;37.09;28112024;LLC
658;Fuite hydraulique;Convoyeur;Moyenne;20.15;19062024;
659;Panne Alectrique;Convoyeur;Moyenne;27.72;24022024;
670;Surchauffe moteur;Compresseur;Critique;8.64;5082024;
671;DAfaut logiciel;Pompe;Faible;12.46;25092024;
673;Panne pneumatique;Convoyeur;Moyenne;16.08;6102024;
676;Fuite hydraulique;Compresseur;Faible;19.98;4032024;
677;Panne Alectrique;Convoyeur;Critique;29.7;6092023;
679;ProblAme de;Convoyeur;Faible;14.77;29062024;
680;Panne pneumatique;Pompe;Moyenne;21.75;17122023;LLC
687;Usure mAcanique;Pompe;AlevAe;36.82;8052023;
688;Fuite hydraulique;Compresseur;Faible;30.25;15112023;LLC
689;Surchauffe moteur;Pompe;Moyenne;14.74;5102024;
695;DAfaillance capteur;Compresseur;Critique;29.61;21012024;
701;Fuite hydraulique;Compresseur;Moyenne;25.6;11092023;Inc
704;DAfaillance capteur;Compresseur;Critique;9.37;10062023;
708;DAfaillance capteur;Compresseur;Faible;45.13;16122023;
710;ProblAme de;Compresseur;AlevAe;9.84;7122023;Group
711;Fuite hydraulique;Pompe;Critique;47.72;25032025;LLC
713;Surchauffe moteur;Compresseur;Critique;20.08;25092023;
715;Panne Alectrique;Compresseur;Faible;3.85;27072023;Group
716;Panne Alectrique;Convoyeur;AlevAe;17.66;25052023;
718;Usure mAcanique;Compresseur;Faible;44.91;24062023;Group
721;Panne Alectrique;Compresseur;Moyenne;43.5;5052024;
722;Usure mAcanique;Convoyeur;AlevAe;0.63;17052023;
727;DAfaut logiciel;Pompe;Moyenne;47.4;2032024;Group
729;DAfaillance capteur;Compresseur;Moyenne;42.79;18012024;
730;Surchauffe moteur;Compresseur;Critique;21.32;22092024;
731;Surchauffe moteur;Pompe;Moyenne;23.84;6082023;LLC
736;Panne pneumatique;Convoyeur;Faible;2.11;31082023;
737;Panne pneumatique;Pompe;Faible;34.64;29092023;
740;DAfaut logiciel;Convoyeur;Moyenne;22.2;1012025;
742;DAfaillance capteur;Convoyeur;AlevAe;6.35;3122023;
744;DAfaillance capteur;Compresseur;Critique;25.96;7012024;
747;Surchauffe moteur;Convoyeur;Faible;32.07;19082024;
759;Surchauffe moteur;Convoyeur;AlevAe;43.33;12122024;
766;Fuite hydraulique;Compresseur;Moyenne;6.8;2102023;
767;ProblAme de;Pompe;Critique;34.48;12012024;
772;Fuite hydraulique;Pompe;Moyenne;6.84;9062023;
774;Usure mAcanique;Convoyeur;Faible;19.79;17082024;
775;Panne pneumatique;Convoyeur;Moyenne;19.52;12012024;
776;Panne pneumatique;Convoyeur;AlevAe;38.85;23092023;LLC
781;Fuite hydraulique;Compresseur;Faible;45.43;7022025;
782;ProblAme de;Pompe;Critique;16.46;27012024;
783;DAfaut logiciel;Pompe;Critique;9.39;12012024;
786;Fuite hydraulique;Convoyeur;Moyenne;22.54;21042025;Ltd
787;Panne Alectrique;Pompe;AlevAe;13.32;28012024;
791;Panne pneumatique;Convoyeur;AlevAe;42.39;2042024;
793;Usure mAcanique;Convoyeur;AlevAe;43.67;18072024;
795;Surchauffe moteur;Pompe;Faible;22.94;28072023;
799;Panne pneumatique;Compresseur;Critique;3.98;15092024;Group
801;ProblAme de;Pompe;AlevAe;38.48;4022025;
803;Usure mAcanique;Convoyeur;Faible;27.63;28052024;LLC
807;Usure mAcanique;Pompe;Moyenne;11.49;14062023;
808;Usure mAcanique;Pompe;Critique;20.39;11042025;
810;DAfaillance capteur;Convoyeur;AlevAe;1.68;14052023;
818;DAfaut logiciel;Pompe;AlevAe;29.94;9102023;
823;Panne pneumatique;Convoyeur;AlevAe;19.44;31122023;
825;DAfaut logiciel;Pompe;Faible;19.77;14072023;
826;Panne Alectrique;Pompe;Moyenne;16.16;16062024;Inc
827;DAfaut logiciel;Pompe;Faible;27.08;12112024;
830;Usure mAcanique;Convoyeur;Moyenne;13.35;13122024;Ltd
836;Usure mAcanique;Convoyeur;Faible;41.03;1052024;LLC
841;ProblAme de;Convoyeur;Moyenne;39.3;4122024;Inc
846;DAfaut logiciel;Pompe;Critique;21.71;9032024;LLC
847;DAfaut logiciel;Convoyeur;Critique;17.85;16112024;
849;Panne pneumatique;Pompe;Critique;47.64;15032024;
853;Panne Alectrique;Pompe;AlevAe;10.92;8032025;
857;DAfaut logiciel;Compresseur;Critique;14.56;23102023;
859;Usure mAcanique;Pompe;Critique;41.52;13062023;LLC
860;Surchauffe moteur;Convoyeur;Faible;41.58;16062023;
871;Panne pneumatique;Convoyeur;Critique;6.2;9102024;Group
872;ProblAme de;Compresseur;Faible;42.35;20042024;
879;Panne pneumatique;Pompe;Moyenne;32.6;13012025;PLC
881;Fuite hydraulique;Pompe;Moyenne;4.66;17072023;
882;Fuite hydraulique;Pompe;Faible;15.43;14122024;
883;Surchauffe moteur;Compresseur;Moyenne;18.92;17032024;
885;DAfaut logiciel;Convoyeur;AlevAe;35.6;18122024;
886;ProblAme de;Convoyeur;Moyenne;15.85;9062024;
887;Panne Alectrique;Convoyeur;Moyenne;19.54;24082023;
891;Fuite hydraulique;Compresseur;Moyenne;44.74;3072024;Group
892;DAfaut logiciel;Compresseur;Faible;19.93;12032025;
893;Surchauffe moteur;Pompe;AlevAe;18.03;13092023;
898;Fuite hydraulique;Convoyeur;Critique;36.62;25072023;
900;ProblAme de;Convoyeur;AlevAe;17.99;25102023;
904;Panne Alectrique;Pompe;Critique;47.24;23022024;
905;Surchauffe moteur;Pompe;Faible;14.7;30062024;Inc
Court;send attention;Pompe;Moyenne;15.99;4012024;
908;DAfaillance capteur;Pompe;Faible;21.71;8112023;Inc
910;DAfaut logiciel;Convoyeur;AlevAe;13.21;17012025;
911;DAfaillance capteur;Convoyeur;Moyenne;39.59;16032025;PLC
912;Fuite hydraulique;Pompe;Critique;4.22;21122024;
913;Surchauffe moteur;Compresseur;Moyenne;9.42;12072024;PLC
914;Panne pneumatique;Convoyeur;Moyenne;19.07;7062023;Inc
915;DAfaut logiciel;Convoyeur;Critique;17.6;12062024;LLC
916;Usure mAcanique;Compresseur;Critique;44.91;15112024;
918;Fuite hydraulique;Pompe;Moyenne;0.55;26072023;
919;DAfaillance capteur;Convoyeur;Moyenne;47.04;24122023;
920;Panne pneumatique;Convoyeur;Faible;18.23;5112024;
923;Usure mAcanique;Pompe;Moyenne;39.07;13112023;
925;Panne pneumatique;Compresseur;AlevAe;11.2;21112023;
928;ProblAme de;Convoyeur;Faible;27.9;25012025;
931;Panne Alectrique;Compresseur;AlevAe;27.74;4032025;
937;Panne pneumatique;Compresseur;Critique;38.96;9052023;
939;ProblAme de;Compresseur;Critique;2.07;17062024;Inc
940;DAfaillance capteur;Compresseur;AlevAe;29.51;24022025;
941;DAfaut logiciel;Compresseur;Faible;2.57;12082023;
942;ProblAme de;Pompe;Moyenne;43.21;17042024;PLC
943;Surchauffe moteur;Pompe;AlevAe;4.61;7082023;
945;ProblAme de;Compresseur;Critique;18.86;1102024;PLC
946;ProblAme de;Convoyeur;Moyenne;1.09;27082024;Inc
947;Panne Alectrique;Pompe;Faible;20.34;5032025;
948;Usure mAcanique;Pompe;Critique;14.83;16082024;PLC
949;Fuite hydraulique;Convoyeur;Faible;31.65;3092024;
950;ProblAme de;Convoyeur;Critique;14.22;25102024;Inc
View;especially while;Convoyeur;Faible;16.45;24092024;
954;DAfaillance capteur;Convoyeur;AlevAe;35.61;5032024;Group
955;Surchauffe moteur;Pompe;Faible;8.04;26032025;Inc
957;DAfaut logiciel;Convoyeur;Critique;42.47;30062023;
960;Panne pneumatique;Convoyeur;Moyenne;27.38;15052023;
962;Panne Alectrique;Compresseur;AlevAe;13.24;21042024;
964;Panne Alectrique;Compresseur;Critique;13.04;26042024;
965;Panne pneumatique;Pompe;AlevAe;24.73;10042024;
969;Surchauffe moteur;Compresseur;AlevAe;7.36;26022024;
970;DAfaut logiciel;Convoyeur;Moyenne;30.85;21062024;
973;Panne Alectrique;Compresseur;Faible;6.07;2032024;
974;Panne Alectrique;Compresseur;Moyenne;40.36;14042024;LLC
976;Fuite hydraulique;Compresseur;Moyenne;15.23;17072024;
Occur;put would;Convoyeur;Moyenne;35.17;12092023;
980;Usure mAcanique;Compresseur;Moyenne;46.04;23072023;
984;Usure mAcanique;Convoyeur;Moyenne;41.37;23062024;
986;DAfaut logiciel;Pompe;Faible;35.31;4112023;Group
989;Panne pneumatique;Pompe;Critique;14.14;7122024;PLC
991;Surchauffe moteur;Compresseur;Moyenne;30.88;28092024;
996;Surchauffe moteur;Compresseur;Faible;28.39;28032025;LLC
998;DAfaillance capteur;Convoyeur;Moyenne;44.62;27062023;
1001;Surchauffe moteur;Convoyeur;Critique;33.93;15092023;
1002;Panne pneumatique;Compresseur;Faible;19.51;5122024;
1010;ProblAme de;Compresseur;Critique;21.3;9062024;Inc
1011;ProblAme de;Pompe;Critique;9.39;28082023;
1012;Surchauffe moteur;Compresseur;Moyenne;44.9;26042023;
I;century summer;Convoyeur;AlevAe;7.89;24092024;
1018;DAfaut logiciel;Compresseur;Moyenne;32.47;24022024;
1021;Usure mAcanique;Pompe;Moyenne;32.39;5122023;
1026;DAfaillance capteur;Compresseur;Moyenne;35.85;11012024;
1030;ProblAme de;Convoyeur;Critique;3.14;19092023;LLC
1036;ProblAme de;Convoyeur;AlevAe;7.02;4022024;
Else;anyone part;Convoyeur;Moyenne;1.68;26072023;PLC
1042;Fuite hydraulique;Pompe;AlevAe;0.74;9062023;
1045;Panne Alectrique;Compresseur;Faible;13.31;17032025;
1046;Surchauffe moteur;Convoyeur;AlevAe;44.28;26112023;
1047;DAfaut logiciel;Pompe;AlevAe;11.16;23112023;
1049;Usure mAcanique;Convoyeur;Critique;4.19;9102023;
1051;DAfaut logiciel;Compresseur;Critique;40.06;5072023;Ltd
1052;Surchauffe moteur;Compresseur;Moyenne;27.1;12072024;
1055;Surchauffe moteur;Convoyeur;AlevAe;19.86;2032024;
1056;DAfaillance capteur;Compresseur;AlevAe;27.16;20042025;
1057;DAfaut logiciel;Compresseur;Faible;3.21;27032025;LLC
1059;Surchauffe moteur;Pompe;Critique;42.51;17052023;
1063;Surchauffe moteur;Pompe;Faible;18.67;9112024;Ltd
1067;Usure mAcanique;Compresseur;Faible;10.19;13112023;
1072;Panne pneumatique;Compresseur;Moyenne;2.99;21092024;
1073;DAfaut logiciel;Compresseur;AlevAe;7.02;11052024;
Line;look day;Convoyeur;Faible;39.55;18112023;
1076;Panne Alectrique;Compresseur;Critique;30.85;8072023;
1078;Fuite hydraulique;Convoyeur;Faible;31.78;9112023;
1080;Surchauffe moteur;Convoyeur;Moyenne;44.88;19052024;
1083;Panne pneumatique;Pompe;Moyenne;39.23;24052024;
1088;Surchauffe moteur;Convoyeur;AlevAe;43.08;16122023;
1089;ProblAme de;Pompe;AlevAe;34.69;29112024;
1093;Surchauffe moteur;Compresseur;AlevAe;20.34;1112023;Group
Power;cold hot;Compresseur;Faible;39.69;5052023;
1097;Fuite hydraulique;Pompe;Moyenne;7.18;19052024;Group
1100;Panne Alectrique;Convoyeur;Moyenne;13.58;24122023;
1102;Panne Alectrique;Convoyeur;Moyenne;6.04;18072023;Inc
1103;ProblAme de;Pompe;Faible;14.66;15042024;Group
1105;Panne Alectrique;Convoyeur;Moyenne;8.06;2032025;Group
Myself;face general;Compresseur;Moyenne;23.26;12042024;Ltd
1107;Surchauffe moteur;Convoyeur;Moyenne;39.51;28022025;
