Description;ASSETNUM;LOCATION;facteur;valeur;pourcentage;action_recommandee;action_secondaire;FC;PB;type_lubrification;oil_level;downtime;vibration;power_alimentation;maintenance_frequency;seniority
fuite hydraulique;ASSET12;L31BI999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;5;3.56;non;faible;trimestrielle;13
usure mecanique;ASSET1;L11BI999;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;3;1.15;oui;bonne;mensuelle;6
fuite hydraulique;CAL101;L21BI999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;3.2;oui;faible;annuelle;0
fuite hydraulique;CAL102;L2BI999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;3;6.24;oui;faible;trimestrielle;6
défaut logiciel;CAL103;L8AZBM999;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;5;3.42;non;faible;trimestrielle;7
défaut logiciel;7112;A37DM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;1;5.9;oui;moyenne;mensuelle;1
problème tension;7113;A36DM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;2;6.66;oui;moyenne;trimestrielle;4
défaut logiciel;7114;A371DM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;4;7.84;non;faible;mensuelle;20
fuite hydraulique;7115;L430;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;1;5.55;oui;moyenne;trimestrielle;18
défaut logiciel;9000;L3100;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;2;5.81;non;faible;mensuelle;8
panne pneumatique;9001;L200;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;1;3.75;oui;bonne;hebdomadaire;12
panne pneumatique;9002;L300;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;2;6.79;non;faible;trimestrielle;13
problème tension;9010;TUMBLE;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;4;0.76;non;bonne;trimestrielle;9
défaut logiciel;A43ABI999;CLEAN;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;3;1.33;non;moyenne;mensuelle;4
fuite hydraulique;A37A1BI999;MECHASSY;"""	Pression du système""";Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;4;0.63;oui;bonne;trimestrielle;10
défaut logiciel;A41BI999;MOLD;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;5;3.06;non;faible;trimestrielle;5
vibration excessive;A16BI999;6THFLOOR;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;aucune;5;5.56;oui;faible;trimestrielle;12
fuite hydraulique;A20BI999;A10211OC999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;5;2.43;non;bonne;mensuelle;13
défaillance capteur;A17ABI999;L4AZVBC999;Température ambiante - Humidité - Âge du capteur;>45°C;100.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;graisse;2;5.98;non;moyenne;hebdomadaire;12
défaut logiciel;A23ABI999;L48BZVBC999;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;2;5.94;non;moyenne;mensuelle;5
surchauffe moteur;A37ABI999;L45AZVBC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;5;6.77;oui;bonne;trimestrielle;9
fuite hydraulique;A23AqBI999;L41BZVBC999;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;1;6.04;oui;faible;trimestrielle;20
panne pneumatique;A15BI999;L41AZVBC999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;1;3.16;oui;moyenne;hebdomadaire;9
problème tension;A12BI999;L2B1VBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;4;7.04;oui;bonne;trimestrielle;0
usure mécanique;L3AZBM999;L3A1VBC999;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;5;7.0;oui;bonne;trimestrielle;6
surchauffe;L11BI999;L6B1VBC999;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;3;6.5;non;moyenne;mensuelle;7
problème tension;L11BM999;L8B1VBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;3;6.96;oui;moyenne;annuelle;9
défaut logiciel;L1AZBM999;L7BVBC999;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;5;5.22;non;bonne;annuelle;2
fuite hydraulique;L2BI999;L5A3DM999;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;huile;2;1.43;non;faible;trimestrielle;13
problème tension;L8AZBM999;L9B2DM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;5;5.61;non;bonne;annuelle;3
défaut logiciel;L2BM999;1L3B1SZ999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;1;2.23;oui;bonne;trimestrielle;17
problème tension;L31BM999;A105OC999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;graisse;4;1.27;oui;faible;trimestrielle;7
surchauffe moteur;L31BI999;A1021OC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;3;3.59;non;moyenne;annuelle;7
problème tension;L5AZBM999;A11211OC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;4;6.42;oui;moyenne;hebdomadaire;10
panne pneumatique;L1DZBM999;A1121OC999;Pression d'air - Fuites dans le circuit - Qualité de l'air;85 dB;60.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;4;4.88;non;bonne;hebdomadaire;16
défaut logiciel;1001;A11OC999;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;5;6.83;non;faible;annuelle;18
problème tension;12600;L3ASZ999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;4;6.98;non;faible;mensuelle;20
défaut logiciel;11450;L8BSZ999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;3;2.01;oui;moyenne;annuelle;20
panne pneumatique;11230;L7BSZ999;Pression d'air - Fuites dans le circuit - Qualité de l'air;85 dB;60.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;2;4.74;non;faible;annuelle;6
défaut logiciel;12300;L2BSZ999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;1;1.05;oui;moyenne;annuelle;12
surchauffe;11430;L18BSZ999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;5;5.28;oui;bonne;mensuelle;3
fuite hydraulique;13141;L7B1SZ999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;1;3.84;oui;faible;hebdomadaire;4
fuite hydraulique;12700;L3BSZ999;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;4.39;non;moyenne;trimestrielle;16
défaut logiciel;11470;L7B1VBC999;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;1;6.09;oui;moyenne;trimestrielle;20
défaillance capteur;13140;L3B3DM999;Température ambiante - Humidité - Âge du capteur;>45°C;100.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;huile;4;6.29;non;faible;mensuelle;19
défaut logiciel;11200;A12DM999;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;2;4.31;non;faible;hebdomadaire;6
problème tension;11300;A35DM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;graisse;5;6.57;oui;bonne;mensuelle;17
fuite hydraulique;11460;A201DM999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;2;1.18;oui;bonne;trimestrielle;1
surchauffe;12210;A111DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;1;7.77;non;bonne;trimestrielle;15
surchauffe;12100;A121ADM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;1;1.62;non;faible;mensuelle;8
turn western;13150;A131ADM999;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;huile;1;3.63;oui;moyenne;hebdomadaire;10
surchauffe moteur;13110;A13DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;5;6.19;oui;moyenne;annuelle;4
problème tension;13160;A14DM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;3;2.03;non;faible;mensuelle;20
problème tension;13120;A141DM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;4;0.89;oui;bonne;trimestrielle;13
problème tension;52300;BR300;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;semi-solide;1;5.24;non;bonne;annuelle;15
surchauffe;1002;SHIPPING;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;4;4.07;oui;bonne;hebdomadaire;1
problème tension;1000;BR450;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;4;2.87;oui;moyenne;hebdomadaire;18
vibration excessive;7111;BOILER;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;graisse;5;4.68;oui;moyenne;annuelle;7
défaillance capteur;11210;BR230;Température ambiante - Humidité - Âge du capteur;>45°C;100.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;aucune;1;1.92;oui;faible;trimestrielle;17
fuite hydraulique;13145;BPM3100;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;3;3.93;non;faible;mensuelle;1
turn western;13143;REPAIR;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;semi-solide;5;5.27;non;faible;hebdomadaire;5
usure mécanique;13170;BR210;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;2;1.64;non;faible;mensuelle;18
problème tension;12610;BR430;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;3;4.57;oui;bonne;mensuelle;20
fuite hydraulique;12710;BR200;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;5;1.46;oui;bonne;annuelle;12
problème tension;23972;BR460;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;2;7.18;oui;faible;hebdomadaire;18
surchauffe;13180;POLE300;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;3;4.92;oui;faible;annuelle;8
problème tension;ASSET12345;OFF103;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;semi-solide;2;5.41;non;bonne;mensuelle;17
défaillance capteur;ASSET1234;BR400;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;aucune;1;3.15;non;faible;trimestrielle;5
surchauffe moteur;ASSET123;PACKAGE;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;4;0.82;non;bonne;annuelle;17
surchauffe;ASSET12;ECC210;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;4;7.53;oui;moyenne;trimestrielle;20
défaut logiciel;ASSET1;MOFLOOR1;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;4;2.04;oui;faible;mensuelle;12
fuite hydraulique;CAL101;CENTRAL;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;2;5.73;oui;faible;hebdomadaire;9
panne pneumatique;CAL102;OFFICE;Pression d'air - Fuites dans le circuit - Qualité de l'air;>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;5;5.71;non;faible;hebdomadaire;12
surchauffe;CAL103;MH100;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;2;1.68;oui;faible;trimestrielle;14
surchauffe;7112;NEEDHAM;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;4;0.69;oui;moyenne;mensuelle;2
fuite hydraulique;7113;COMPLAB;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;5;7.17;non;bonne;hebdomadaire;4
fuite hydraulique;7114;BLK2000;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;aucune;2;5.31;oui;moyenne;mensuelle;3
turn western;7115;SAN101;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;graisse;2;1.91;non;bonne;annuelle;15
fuite hydraulique;9000;BR431;"""	Pression du système""";Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;3;7.06;oui;faible;annuelle;20
problème tension;9001;CONF200;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;1;6.22;non;moyenne;mensuelle;15
problème tension;9002;FINALPKG;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;2;4.19;oui;bonne;mensuelle;2
fuite hydraulique;9010;MARKING;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;1;4.81;non;moyenne;hebdomadaire;10
fuite hydraulique;A43ABI999;FIELDSTAFF;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;3;6.19;oui;moyenne;mensuelle;17
défaut logiciel;A37A1BI999;COMP310;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;3;0.9;oui;bonne;annuelle;0
panne pneumatique;A41BI999;MOFLOOR4;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;3;5.5;oui;faible;mensuelle;18
fuite hydraulique;A16BI999;L41BI999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;3.61;oui;faible;hebdomadaire;14
fuite hydraulique;A20BI999;L1BI999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;5;6.44;oui;moyenne;mensuelle;3
